Species;Otdel;N;B;Date;Horizon;Station
Protoperidinium bipes;Dino;157.00;0.41;2013-04-23;5;Садок
Protoperidinium pellucidum;Dino;157.00;1.41;2013-04-23;5;Садок
Coscinodiscus oculus–iridis;Bacil;150.00;141.30;2013-05-07;0;Садок
Grammatophora marina;Bacil;300.00;3.28;2013-05-07;0;Садок
Licmophora abbreviata;Bacil;450.00;0.27;2013-05-07;0;Садок
Thalassionema frauenfeldii;Bacil;150.00;1.53;2013-05-07;0;Садок
Cryptomonas sp.;Cryp;150.00;0.03;2013-05-07;0;Садок
Dinophysis acuminata;Dino;150.00;5.54;2013-05-07;0;Садок
Protoperidinium bipes;Dino;150.00;0.39;2013-05-07;0;Садок
Protoperidinium pellucidum;Dino;750.00;6.75;2013-05-07;0;Садок
Protoperidinium pyriforme;Dino;150.00;5.63;2013-05-07;0;Садок
Eutreptia sp.;Eugle;4050.00;1.00;2013-05-07;0;Садок
Eutreptia lanowii;Eugle;5400.00;5.59;2013-05-07;0;Садок
Ebria tripartita;Chry;143.00;2.02;2013-05-07;2;Садок
Licmophora abbreviata;Bacil;429.00;0.26;2013-05-07;2;Садок
Thalassionema frauenfeldii;Bacil;143.00;1.45;2013-05-07;2;Садок
Thalassiosira sp. (d=40);Bacil;286.00;14.02;2013-05-07;2;Садок
Gyrodinium fusiforme;Dino;429.00;11.48;2013-05-07;2;Садок
Gyrodinium spirale;Dino;429.00;47.51;2013-05-07;2;Садок
Heterocapsa triquetra;Dino;429.00;1.60;2013-05-07;2;Садок
Protoperidinium bipes;Dino;286.00;0.74;2013-05-07;2;Садок
Protoperidinium pellucidum;Dino;857.00;7.71;2013-05-07;2;Садок
Eutreptia sp.;Eugle;6000.00;1.49;2013-05-07;2;Садок
Eutreptia lanowii;Eugle;37714.00;39.07;2013-05-07;2;Садок
Chaetoceros convolutus;Bacil;571.00;3.90;2013-05-07;5;Садок
Grammatophora marina;Bacil;143.00;1.56;2013-05-07;5;Садок
Thalassiosira sp. (d=32);Bacil;286.00;2.30;2013-05-07;5;Садок
Gyrodinium fusiforme;Dino;571.00;15.31;2013-05-07;5;Садок
Gyrodinium spirale;Dino;429.00;47.51;2013-05-07;5;Садок
Heterocapsa triquetra;Dino;571.00;2.13;2013-05-07;5;Садок
Protoperidinium brevipes;Dino;429.00;2.79;2013-05-07;5;Садок
Protoperidinium pellucidum;Dino;714.00;6.43;2013-05-07;5;Садок
Eutreptia sp.;Eugle;8571.00;2.13;2013-05-07;5;Садок
Eutreptia lanowii;Eugle;33143.00;34.34;2013-05-07;5;Садок
Chaetoceros debilis;Bacil;450.00;0.49;2013-05-21;0;Садок
Grammatophora marina;Bacil;2250.00;24.59;2013-05-21;0;Садок
Licmophora abbreviata;Bacil;750.00;0.45;2013-05-21;0;Садок
Navicula transitans var. derasa;Bacil;300.00;0.45;2013-05-21;0;Садок
Navicula directa;Bacil;600.00;1.12;2013-05-21;0;Садок
Nitzschia sp.;Bacil;150.00;0.09;2013-05-21;0;Садок
Odontella aurita;Bacil;150.00;3.68;2013-05-21;0;Садок
Pleurosigma formosum;Bacil;150.00;9.00;2013-05-21;0;Садок
Guinardia striata;Bacil;450.00;1.62;2013-05-21;0;Садок
Dinophysis acuminata;Dino;150.00;5.54;2013-05-21;0;Садок
Protoperidinium depressum;Dino;150.00;82.02;2013-05-21;0;Садок
Protoperidinium divergens;Dino;150.00;5.97;2013-05-21;0;Садок
Protoperidinium pellucidum;Dino;1200.00;10.79;2013-05-21;0;Садок
Cocconeis scutellum;Bacil;950.00;1.24;2013-05-21;2;Садок
Diploneis smithii;Bacil;136.00;0.58;2013-05-21;2;Садок
Grammatophora marina;Bacil;19814.00;216.57;2013-05-21;2;Садок
Licmophora abbreviata;Bacil;1357.00;0.81;2013-05-21;2;Садок
Navicula transitans var. derasa;Bacil;5157.00;7.79;2013-05-21;2;Садок
Navicula sp.;Bacil;1086.00;2.03;2013-05-21;2;Садок
Navicula directa;Bacil;3121.00;5.84;2013-05-21;2;Садок
Pseudo–nitzschia delicatissima;Bacil;271.00;0.03;2013-05-21;2;Садок
Nitzschia distans;Bacil;271.00;0.11;2013-05-21;2;Садок
Pleurosigma formosum;Bacil;407.00;24.43;2013-05-21;2;Садок
Thalassionema frauenfeldii;Bacil;1221.00;12.43;2013-05-21;2;Садок
Thalassiosira sp. (d=32);Bacil;950.00;7.64;2013-05-21;2;Садок
Dinophysis acuminata;Dino;407.00;15.03;2013-05-21;2;Садок
Gyrodinium spirale;Dino;136.00;15.05;2013-05-21;2;Садок
Protoperidinium depressum;Dino;136.00;74.20;2013-05-21;2;Садок
Protoperidinium pellucidum;Dino;136.00;1.22;2013-05-21;2;Садок
Cerataulina pelagica;Bacil;1100.00;9.08;2013-05-21;5;Садок
Chaetoceros debilis;Bacil;629.00;0.69;2013-05-21;5;Садок
Ceratoneis closterium;Bacil;157.00;0.09;2013-05-21;5;Садок
Grammatophora marina;Bacil;786.00;8.59;2013-05-21;5;Садок
Licmophora abbreviata;Bacil;157.00;0.09;2013-05-21;5;Садок
Navicula directa;Bacil;157.00;0.29;2013-05-21;5;Садок
Thalassionema frauenfeldii;Bacil;157.00;1.60;2013-05-21;5;Садок
Dinophysis acuminata;Dino;629.00;23.21;2013-05-21;5;Садок
Dinophysis acuta;Dino;157.00;4.71;2013-05-21;5;Садок
Gonyaulax digitale;Dino;157.00;1.88;2013-05-21;5;Садок
Protoperidinium bipes;Dino;471.00;1.22;2013-05-21;5;Садок
Protoperidinium leonis;Dino;157.00;21.59;2013-05-21;5;Садок
Protoperidinium pellucidum;Dino;471.00;4.24;2013-05-21;5;Садок
Chaetoceros debilis;Bacil;1463.00;1.59;2013-06-04;0;Садок
Licmophora abbreviata;Bacil;225.00;0.14;2013-06-04;0;Садок
Navicula transitans var. derasa;Bacil;338.00;0.51;2013-06-04;0;Садок
Pleurosigma formosum;Bacil;338.00;20.25;2013-06-04;0;Садок
Dactyliosolen fragilissimus;Bacil;450.00;6.37;2013-06-04;0;Садок
Thalassionema frauenfeldii;Bacil;113.00;1.14;2013-06-04;0;Садок
Dinophysis acuminata;Dino;2138.00;78.93;2013-06-04;0;Садок
Diplopsalis lenticula f. lenticula;Dino;225.00;31.89;2013-06-04;0;Садок
Gonyaulax spinifera;Dino;113.00;1.33;2013-06-04;0;Садок
Gyrodinium fusiforme;Dino;225.00;6.03;2013-06-04;0;Садок
Oxytoxum sceptrum;Dino;113.00;0.04;2013-06-04;0;Садок
Oblea rotundata;Dino;788.00;3.72;2013-06-04;0;Садок
Protoperidinium brevipes;Dino;450.00;2.93;2013-06-04;0;Садок
Protoperidinium pellucidum;Dino;1013.00;9.11;2013-06-04;0;Садок
Ceratoneis closterium;Bacil;450.00;0.25;2013-06-04;2;Садок
Grammatophora marina;Bacil;150.00;1.64;2013-06-04;2;Садок
Pleurosigma formosum;Bacil;150.00;9.00;2013-06-04;2;Садок
Dactyliosolen fragilissimus;Bacil;1200.00;16.99;2013-06-04;2;Садок
Dinophysis acuminata;Dino;2550.00;94.16;2013-06-04;2;Садок
Gonyaulax spinifera;Dino;150.00;1.77;2013-06-04;2;Садок
Gyrodinium spirale;Dino;150.00;16.63;2013-06-04;2;Садок
Heterocapsa triquetra;Dino;150.00;0.56;2013-06-04;2;Садок
Oblea rotundata;Dino;150.00;0.71;2013-06-04;2;Садок
Protoperidinium brevipes;Dino;150.00;0.98;2013-06-04;2;Садок
Protoperidinium pellucidum;Dino;1650.00;14.84;2013-06-04;2;Садок
Scrippsiella trochoidea;Dino;150.00;0.90;2013-06-04;2;Садок
Chaetoceros debilis;Bacil;353.00;0.38;2013-06-04;5;Садок
Cocconeis scutellum;Bacil;235.00;0.31;2013-06-04;5;Садок
Ceratoneis closterium;Bacil;118.00;0.07;2013-06-04;5;Садок
Licmophora abbreviata;Bacil;235.00;0.14;2013-06-04;5;Садок
Pleurosigma formosum;Bacil;118.00;7.05;2013-06-04;5;Садок
Dactyliosolen fragilissimus;Bacil;1058.00;14.97;2013-06-04;5;Садок
Thalassionema frauenfeldii;Bacil;118.00;1.20;2013-06-04;5;Садок
Thalassiosira sp. (d=32);Bacil;353.00;2.83;2013-06-04;5;Садок
Dinophysis acuminata;Dino;470.00;17.36;2013-06-04;5;Садок
Oblea rotundata;Dino;118.00;0.56;2013-06-04;5;Садок
Protoperidinium brevipes;Dino;118.00;0.77;2013-06-04;5;Садок
Protoperidinium pellucidum;Dino;118.00;1.06;2013-06-04;5;Садок
Cocconeis scutellum;Bacil;1286.00;1.67;2013-06-20;0;Садок
Ceratoneis closterium;Bacil;1714.00;0.95;2013-06-20;0;Садок
Grammatophora marina;Bacil;1286.00;14.05;2013-06-20;0;Садок
Licmophora abbreviata;Bacil;3429.00;2.06;2013-06-20;0;Садок
Nitzschia frigida;Bacil;466286.00;279.77;2013-06-20;0;Садок
Nitzschia rectilonga;Bacil;4714.00;11.79;2013-06-20;0;Садок
Nitzschia fontifuga;Bacil;589714.00;353.83;2013-06-20;0;Садок
Odontella aurita;Bacil;857.00;21.03;2013-06-20;0;Садок
Pleurosigma formosum;Bacil;857.00;51.43;2013-06-20;0;Садок
Thalassionema frauenfeldii;Bacil;7286.00;74.12;2013-06-20;0;Садок
Chaetoceros sp.;Bacil;1820.00;15.50;2013-06-20;2;Садок
Cocconeis scutellum;Bacil;280.00;0.36;2013-06-20;2;Садок
Rhizosolenia setigera;Bacil;140.00;6.85;2013-06-20;2;Садок
Skeletonema costatum;Bacil;2520.00;1.45;2013-06-20;2;Садок
Thalassionema frauenfeldii;Bacil;8540.00;86.88;2013-06-20;2;Садок
Thalassionema nitzschioides;Bacil;840.00;3.74;2013-06-20;2;Садок
Dinophysis acuminata;Dino;1540.00;56.87;2013-06-20;2;Садок
Diplopsalis lenticula f. lenticula;Dino;140.00;19.84;2013-06-20;2;Садок
Gyrodinium fusiforme;Dino;140.00;3.75;2013-06-20;2;Садок
Gyrodinium spirale;Dino;280.00;31.04;2013-06-20;2;Садок
Oblea rotundata;Dino;140.00;0.66;2013-06-20;2;Садок
Protoperidinium pyriforme;Dino;280.00;10.50;2013-06-20;2;Садок
Chaetoceros sp.;Bacil;900.00;0.98;2013-06-20;5;Садок
Grammatophora marina;Bacil;129.00;1.41;2013-06-20;5;Садок
Thalassionema frauenfeldii;Bacil;900.00;9.16;2013-06-20;5;Садок
Dinophysis acuminata;Dino;129.00;4.75;2013-06-20;5;Садок
Protoperidinium pellucidum;Dino;386.00;3.47;2013-06-20;5;Садок
Protoperidinium pentagonum;Dino;129.00;14.46;2013-06-20;5;Садок
Chaetoceros sp.;Bacil;1477.00;1.61;2013-07-02;0;Садок
Coscinodiscus oculus–iridis;Bacil;134.00;126.50;2013-07-02;0;Садок
Thalassionema frauenfeldii;Bacil;134.00;1.37;2013-07-02;0;Садок
Ceratium fusus;Dino;134.00;4.64;2013-07-02;0;Садок
Dinophysis acuminata;Dino;1074.00;39.67;2013-07-02;0;Садок
Gyrodinium fusiforme;Dino;269.00;7.19;2013-07-02;0;Садок
Heterocapsa triquetra;Dino;134.00;0.50;2013-07-02;0;Садок
Scrippsiella trochoidea;Dino;806.00;4.83;2013-07-02;0;Садок
Chaetoceros sp.;Bacil;4114.00;4.49;2013-07-02;2;Садок
Thalassionema frauenfeldii;Bacil;129.00;1.31;2013-07-02;2;Садок
Thalassiosira sp. (d=32);Bacil;257.00;2.07;2013-07-02;2;Садок
Cryptomonas sp.;Cryp;900.00;0.21;2013-07-02;2;Садок
Dinophysis acuminata;Dino;3214.00;118.69;2013-07-02;2;Садок
Gonyaulax digitale;Dino;129.00;1.54;2013-07-02;2;Садок
Protoperidinium claudicans;Dino;129.00;8.04;2013-07-02;2;Садок
Protoperidinium pellucidum;Dino;257.00;2.31;2013-07-02;2;Садок
Protoperidinium pentagonum;Dino;129.00;14.46;2013-07-02;2;Садок
Scrippsiella trochoidea;Dino;2057.00;12.32;2013-07-02;2;Садок
Noctiluca scintillans;Dino;1029.00;15881.38;2013-07-02;2;Садок
Chaetoceros curvisetus;Bacil;407.00;0.77;2013-07-02;5;Садок
Chaetoceros sp.;Bacil;1059.00;1.15;2013-07-02;5;Садок
Rhizosolenia setigera;Bacil;81.00;3.99;2013-07-02;5;Садок
Thalassionema frauenfeldii;Bacil;326.00;3.31;2013-07-02;5;Садок
Ceratium fusus;Dino;163.00;5.63;2013-07-02;5;Садок
Dinophysis acuminata;Dino;1547.00;57.13;2013-07-02;5;Садок
Gonyaulax spinifera;Dino;163.00;1.92;2013-07-02;5;Садок
Akashiwo sanguinea;Dino;163.00;5.86;2013-07-02;5;Садок
Oblea rotundata;Dino;81.00;0.39;2013-07-02;5;Садок
Protoperidinium claudicans;Dino;163.00;10.18;2013-07-02;5;Садок
Protoperidinium pellucidum;Dino;81.00;0.73;2013-07-02;5;Садок
Prorocentrum micans;Dino;81.00;0.96;2013-07-02;5;Садок
Scrippsiella trochoidea;Dino;733.00;4.39;2013-07-02;5;Садок
Noctiluca scintillans;Dino;326.00;5029.10;2013-07-02;5;Садок
Chaetoceros sp.;Bacil;229.00;0.25;2013-07-16;0;Садок
Cocconeis scutellum;Bacil;229.00;0.30;2013-07-16;0;Садок
Coscinodiscus sp.;Bacil;1371.00;171.43;2013-07-16;0;Садок
Ditylum brightwellii;Bacil;457.00;21.71;2013-07-16;0;Садок
Pseudo–nitzschia delicatissima;Bacil;457.00;0.05;2013-07-16;0;Садок
Thalassionema frauenfeldii;Bacil;914.00;9.30;2013-07-16;0;Садок
Ceratium fusus;Dino;914.00;31.58;2013-07-16;0;Садок
Dinophysis acuta;Dino;457.00;13.71;2013-07-16;0;Садок
Heterocapsa triquetra;Dino;686.00;2.56;2013-07-16;0;Садок
Oblea rotundata;Dino;229.00;1.08;2013-07-16;0;Садок
Protoperidinium claudicans;Dino;229.00;14.29;2013-07-16;0;Садок
Protoperidinium pellucidum;Dino;229.00;2.06;2013-07-16;0;Садок
Prorocentrum micans;Dino;686.00;8.09;2013-07-16;0;Садок
Prorocentrum triestinum;Dino;2057.00;2.83;2013-07-16;0;Садок
Scrippsiella trochoidea;Dino;2057.00;12.32;2013-07-16;0;Садок
Small flagellata;Small flagellata;2971.00;0.12;2013-07-16;0;Садок
Noctiluca scintillans;Dino;1371.00;21175.18;2013-07-16;0;Садок
Cocconeis scutellum;Bacil;171.00;0.22;2013-07-16;2;Садок
Coscinodiscus sp.;Bacil;1029.00;128.57;2013-07-16;2;Садок
Ditylum brightwellii;Bacil;2057.00;97.70;2013-07-16;2;Садок
Thalassionema frauenfeldii;Bacil;343.00;3.49;2013-07-16;2;Садок
Ceratium fusus;Dino;171.00;5.92;2013-07-16;2;Садок
Dinophysis acuminata;Dino;343.00;12.66;2013-07-16;2;Садок
Dinophysis fortii;Dino;171.00;3.48;2013-07-16;2;Садок
Heterocapsa triquetra;Dino;343.00;1.28;2013-07-16;2;Садок
Oblea rotundata;Dino;171.00;0.81;2013-07-16;2;Садок
Protoperidinium pellucidum;Dino;514.00;4.63;2013-07-16;2;Садок
Prorocentrum micans;Dino;686.00;8.09;2013-07-16;2;Садок
Prorocentrum triestinum;Dino;1543.00;2.13;2013-07-16;2;Садок
Noctiluca scintillans;Dino;857.00;13234.49;2013-07-16;2;Садок
Ditylum brightwellii;Bacil;457.00;21.71;2013-07-16;5;Садок
Stephanopyxis turis;Bacil;686.00;31.97;2013-07-16;5;Садок
Thalassionema frauenfeldii;Bacil;1029.00;10.46;2013-07-16;5;Садок
Dinophysis acuminata;Dino;914.00;33.76;2013-07-16;5;Садок
Dinophysis fortii;Dino;229.00;4.64;2013-07-16;5;Садок
Akashiwo sanguinea;Dino;800.00;28.80;2013-07-16;5;Садок
Gyrodinium fusiforme;Dino;914.00;24.49;2013-07-16;5;Садок
Heterocapsa triquetra;Dino;1486.00;5.54;2013-07-16;5;Садок
Oblea rotundata;Dino;1029.00;4.86;2013-07-16;5;Садок
Protoperidinium pellucidum;Dino;2057.00;18.50;2013-07-16;5;Садок
Prorocentrum micans;Dino;1257.00;14.83;2013-07-16;5;Садок
Prorocentrum triestinum;Dino;3200.00;4.41;2013-07-16;5;Садок
Small flagellata;Small flagellata;1486.00;0.06;2013-07-16;5;Садок
Noctiluca scintillans;Dino;1486.00;22939.77;2013-07-16;5;Садок
Coscinodiscus oculus–iridis;Bacil;171.00;161.49;2013-08-06;0;Садок
Ditylum brightwellii;Bacil;1200.00;56.99;2013-08-06;0;Садок
Skeletonema sp.;Bacil;7371.00;4.25;2013-08-06;0;Садок
Thalassionema frauenfeldii;Bacil;1200.00;12.21;2013-08-06;0;Садок
Protoperidinium pellucidum;Dino;686.00;6.17;2013-08-06;0;Садок
Prorocentrum micans;Dino;4114.00;48.55;2013-08-06;0;Садок
Prorocentrum triestinum;Dino;2229.00;3.07;2013-08-06;0;Садок
Scrippsiella trochoidea;Dino;514.00;3.08;2013-08-06;0;Садок
Eutreptia lanowii;Eugle;171.00;0.18;2013-08-06;0;Садок
Ditylum brightwellii;Bacil;2100.00;99.74;2013-08-06;2;Садок
Navicula sp.;Bacil;140.00;0.26;2013-08-06;2;Садок
Pseudo–nitzschia delicatissima;Bacil;140.00;0.01;2013-08-06;2;Садок
Pleurosigma formosum;Bacil;280.00;16.80;2013-08-06;2;Садок
Skeletonema sp.;Bacil;41860.00;24.11;2013-08-06;2;Садок
Thalassionema frauenfeldii;Bacil;3640.00;37.03;2013-08-06;2;Садок
Thalassiosira sp. (d=40);Bacil;140.00;6.87;2013-08-06;2;Садок
Ceratium fusus;Dino;700.00;24.18;2013-08-06;2;Садок
Dinophysis acuminata;Dino;420.00;15.51;2013-08-06;2;Садок
Dinophysis rotundata;Dino;140.00;1.66;2013-08-06;2;Садок
Oblea rotundata;Dino;560.00;2.65;2013-08-06;2;Садок
Protoperidinium pellucidum;Dino;280.00;2.52;2013-08-06;2;Садок
Prorocentrum micans;Dino;700.00;8.26;2013-08-06;2;Садок
Prorocentrum triestinum;Dino;2520.00;3.47;2013-08-06;2;Садок
Scrippsiella trochoidea;Dino;280.00;1.68;2013-08-06;2;Садок
Ditylum brightwellii;Bacil;840.00;39.90;2013-08-06;5;Садок
Grammatophora marina;Bacil;140.00;1.53;2013-08-06;5;Садок
Navicula transitans var. derasa;Bacil;280.00;0.42;2013-08-06;5;Садок
Pseudo–nitzschia delicatissima;Bacil;560.00;0.06;2013-08-06;5;Садок
Skeletonema sp.;Bacil;23660.00;13.63;2013-08-06;5;Садок
Thalassionema frauenfeldii;Bacil;3080.00;31.33;2013-08-06;5;Садок
Thalassiosira sp. (d=32);Bacil;420.00;3.38;2013-08-06;5;Садок
Ceratium fusus;Dino;420.00;14.51;2013-08-06;5;Садок
Gyrodinium fusiforme;Dino;140.00;3.75;2013-08-06;5;Садок
Protoperidinium pellucidum;Dino;280.00;2.52;2013-08-06;5;Садок
Prorocentrum micans;Dino;140.00;1.65;2013-08-06;5;Садок
Coscinodiscus sp.;Bacil;140.00;17.50;2013-08-20;0;Садок
Diploneis smithii;Bacil;280.00;1.19;2013-08-20;0;Садок
Ditylum brightwellii;Bacil;140.00;6.65;2013-08-20;0;Садок
Leptocylindrus mediterraneus;Bacil;140.00;3.53;2013-08-20;0;Садок
Licmophora abbreviata;Bacil;280.00;0.17;2013-08-20;0;Садок
Pseudo–nitzschia delicatissima;Bacil;280.00;0.03;2013-08-20;0;Садок
Odontella aurita;Bacil;140.00;3.44;2013-08-20;0;Садок
Skeletonema sp.;Bacil;1120.00;0.65;2013-08-20;0;Садок
Thalassionema frauenfeldii;Bacil;560.00;5.70;2013-08-20;0;Садок
Alexandrium tamarense;Dino;280.00;5.84;2013-08-20;0;Садок
Oblea rotundata;Dino;280.00;1.32;2013-08-20;0;Садок
Protoperidinium pellucidum;Dino;1260.00;11.33;2013-08-20;0;Садок
Prorocentrum micans;Dino;840.00;9.91;2013-08-20;0;Садок
Chaetoceros affinis;Bacil;3220.00;11.79;2013-08-20;2;Садок
Cocconeis scutellum;Bacil;280.00;0.36;2013-08-20;2;Садок
Ditylum brightwellii;Bacil;980.00;46.55;2013-08-20;2;Садок
Leptocylindrus danicus;Bacil;262080.00;677.48;2013-08-20;2;Садок
Licmophora abbreviata;Bacil;280.00;0.17;2013-08-20;2;Садок
Melosira moniliformis;Bacil;280.00;3.98;2013-08-20;2;Садок
Pseudo–nitzschia delicatissima;Bacil;280.00;0.03;2013-08-20;2;Садок
Rhizosolenia setigera;Bacil;280.00;13.70;2013-08-20;2;Садок
Skeletonema sp.;Bacil;1680.00;0.97;2013-08-20;2;Садок
Thalassionema frauenfeldii;Bacil;420.00;4.27;2013-08-20;2;Садок
Dinophysis acuta;Dino;140.00;4.20;2013-08-20;2;Садок
Gymnodinium simplex;Dino;140.00;0.04;2013-08-20;2;Садок
Oblea rotundata;Dino;980.00;4.63;2013-08-20;2;Садок
Protoperidinium bipes;Dino;980.00;2.54;2013-08-20;2;Садок
Protoperidinium monovelum;Dino;700.00;7.51;2013-08-20;2;Садок
Protoperidinium pellucidum;Dino;700.00;6.30;2013-08-20;2;Садок
Protoperidinium thorianum;Dino;140.00;11.20;2013-08-20;2;Садок
Prorocentrum micans;Dino;980.00;11.56;2013-08-20;2;Садок
Scrippsiella trochoidea;Dino;140.00;0.84;2013-08-20;2;Садок
Eutreptia lanowii;Eugle;420.00;0.44;2013-08-20;2;Садок
Chaetoceros affinis;Bacil;4526.00;16.56;2013-08-20;5;Садок
Chaetoceros contortus;Bacil;1646.00;4.03;2013-08-20;5;Садок
Chaetoceros decipiens;Bacil;823.00;7.01;2013-08-20;5;Садок
Diploneis smithii;Bacil;137.00;0.58;2013-08-20;5;Садок
Ditylum brightwellii;Bacil;686.00;32.57;2013-08-20;5;Садок
Leptocylindrus danicus;Bacil;173349.00;448.11;2013-08-20;5;Садок
Pseudo–nitzschia delicatissima;Bacil;1234.00;0.12;2013-08-20;5;Садок
Rhizosolenia setigera;Bacil;411.00;20.13;2013-08-20;5;Садок
Skeletonema sp.;Bacil;19200.00;11.06;2013-08-20;5;Садок
Thalassionema frauenfeldii;Bacil;137.00;1.40;2013-08-20;5;Садок
Gonyaulax spinifera;Dino;137.00;1.62;2013-08-20;5;Садок
Gymnodinium simplex;Dino;137.00;0.04;2013-08-20;5;Садок
Oblea rotundata;Dino;274.00;1.30;2013-08-20;5;Садок
Protoperidinium divaricatum;Dino;137.00;16.77;2013-08-20;5;Садок
Prorocentrum micans;Dino;960.00;11.33;2013-08-20;5;Садок
Scrippsiella trochoidea;Dino;411.00;2.46;2013-08-20;5;Садок
Chaetoceros affinis;Bacil;6557.00;24.00;2013-09-03;0;Садок
Coscinodiscus sp.;Bacil;129.00;16.07;2013-09-03;0;Садок
Ditylum brightwellii;Bacil;257.00;12.21;2013-09-03;0;Садок
Hemiaulus hauckii;Bacil;257.00;2.38;2013-09-03;0;Садок
Pseudo–nitzschia delicatissima;Bacil;386.00;0.04;2013-09-03;0;Садок
Rhizosolenia pungens;Bacil;257.00;6.29;2013-09-03;0;Садок
Rhizosolenia setigera;Bacil;129.00;6.29;2013-09-03;0;Садок
Skeletonema sp.;Bacil;50529.00;29.10;2013-09-03;0;Садок
Thalassionema frauenfeldii;Bacil;643.00;6.54;2013-09-03;0;Садок
Dinophysis acuta;Dino;129.00;3.86;2013-09-03;0;Садок
Dinophysis rotundata;Dino;386.00;4.58;2013-09-03;0;Садок
Gonyaulax digitale;Dino;129.00;1.54;2013-09-03;0;Садок
Protoperidinium bipes;Dino;129.00;0.33;2013-09-03;0;Садок
Prorocentrum minimum;Dino;386.00;0.51;2013-09-03;0;Садок
Bacteriastrum sp.;Bacil;157.00;0.44;2013-09-03;2;Садок
Chaetoceros affinis;Bacil;5500.00;20.13;2013-09-03;2;Садок
Chaetoceros didymus;Bacil;471.00;0.80;2013-09-03;2;Садок
Coscinodiscus oculus–iridis;Bacil;471.00;444.09;2013-09-03;2;Садок
